Country,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
Brazil,2020,October,Monday,Afternoon,Rural,Street,Windy,302.08888889926664,1,82,18-25,Male,0.0919614021789005,1,Poor,1,0,Minor,3,1,15.081642107603969,1162.157085280117,Snow-covered,Weather,5,10807.004312702073,63180.59122688079,Asia,4016.230946551791
Brazil,2020,February,Saturday,Morning,Urban,Highway,Snowy,113.16055730234618,2,62,18-25,Female,0.2391639163885647,0,Poor,1,0,Minor,14,2,45.16905894235719,6360.530193185315,Dry,Mechanical Failure,8,7412.1453496481345,62338.68955520279,North America,1774.2823392572016
Brazil,2017,November,Wednesday,Evening,Urban,Main Road,Foggy,403.8199075371006,3,35,18-25,Male,0.2210320825842808,1,Moderate,1,1,Severe,11,4,49.53936498239505,3581.227052237444,Snow-covered,Distracted Driving,1,28673.105811816124,4535.974209729371,Europe,3425.7428728904088
Brazil,2017,May,Wednesday,Evening,Rural,Highway,Windy,485.6935073535278,2,36,61+,Male,0.1584204792106398,0,Poor,1,2,Minor,16,3,42.18688297859172,8416.283741615225,Dry,Distracted Driving,0,29396.30796299351,15057.223289879365,South America,4996.125165959712
Brazil,2003,December,Tuesday,Afternoon,Rural,Highway,Clear,107.65550438436468,4,113,<18,Male,0.2437423354884048,1,Moderate,1,1,Severe,19,0,10.566514727106878,8621.60102010389,Icy,Weather,6,14466.454051496372,24392.08148211694,South America,556.7436353812334
Brazil,2018,December,Thursday,Afternoon,Rural,Street,Snowy,489.4636023727256,1,38,26-40,Female,0.0111179167384469,1,Moderate,0,1,Severe,1,0,47.732070499936576,7368.565122310591,Dry,Speeding,2,29989.43148806121,22499.124785004817,South America,2008.6458912909245
Brazil,2020,April,Friday,Morning,Urban,Highway,Foggy,176.65048185318557,2,101,18-25,Male,0.0414337215332322,1,Good,0,1,Severe,14,3,29.34036150593003,8392.106509264853,Wet,Speeding,9,33492.29106454317,86931.8859333109,Asia,3354.330136358706
Brazil,2004,October,Monday,Evening,Urban,Street,Clear,416.8481921028889,4,51,<18,Female,0.0243740305075474,0,Poor,0,1,Minor,8,0,28.364798317200943,8995.78491617124,Dry,Mechanical Failure,3,2499.5801423605744,42988.09471532532,North America,2887.4202790604995
Brazil,2010,April,Friday,Afternoon,Rural,Highway,Snowy,263.6883547429881,2,54,41-60,Male,0.2348569624847001,1,Moderate,2,1,Minor,9,3,36.25382368075165,7757.742139770308,Dry,Distracted Driving,0,12891.117523363504,58693.96385398976,Europe,1549.6557519221533
Brazil,2019,March,Friday,Night,Rural,Main Road,Windy,276.6726045353241,4,64,<18,Female,0.059353916910279,0,Moderate,0,0,Severe,14,3,6.409625056470688,8824.76427531419,Icy,Drunk Driving,9,15721.695619630162,1949.528966836328,Asia,2708.9375087325216
Brazil,2015,July,Saturday,Morning,Urban,Highway,Rainy,68.4436489751957,3,73,61+,Male,0.0815888483895294,0,Good,1,0,Severe,4,0,34.490643805600754,8788.82197536676,Icy,Speeding,1,39004.85532068147,84282.42236823164,Australia,3541.817945626116
Brazil,2016,August,Monday,Night,Rural,Main Road,Clear,97.30190388667458,3,63,18-25,Male,0.1576384104972981,1,Moderate,0,2,Moderate,19,3,22.200303100468936,6252.8889159986165,Dry,Speeding,1,43573.88920914782,1637.9811183610616,Asia,1834.822244945028
Brazil,2023,December,Wednesday,Evening,Rural,Highway,Windy,243.82014411833123,1,55,18-25,Female,0.0167480966880048,1,Good,2,0,Severe,14,1,46.77532356017128,9311.245516517638,Dry,Weather,5,7815.637507893338,2129.225638029575,South America,85.8094101188118
Brazil,2021,December,Sunday,Night,Urban,Highway,Clear,384.8090543867779,1,46,<18,Male,0.0865908684100483,0,Good,1,1,Minor,0,2,49.65445497570186,1397.6845493899996,Wet,Distracted Driving,5,14313.18019006,59487.05568621797,Australia,2169.953532824294
Brazil,2007,June,Wednesday,Night,Urban,Main Road,Clear,214.90787930971183,3,67,<18,Female,0.1436428405133134,1,Good,2,1,Severe,17,4,39.56490760083548,5634.5326231763465,Icy,Mechanical Failure,8,45745.22592769328,59905.56434269182,South America,3211.063866309058
Brazil,2013,June,Tuesday,Morning,Urban,Main Road,Snowy,371.5022813068017,3,80,26-40,Female,0.1291738425190863,1,Moderate,0,2,Severe,11,0,24.439828858538117,2055.351806448209,Icy,Drunk Driving,5,23587.785594450528,57938.82441285314,Australia,1164.861118591913
Brazil,2006,April,Saturday,Evening,Rural,Highway,Snowy,163.07140084729235,1,55,61+,Male,0.0187985188839934,0,Poor,0,2,Minor,1,1,58.06082913086765,4796.589718727764,Wet,Distracted Driving,8,41799.997451397576,90763.06770602916,Asia,4773.373137139419
Brazil,2001,October,Thursday,Morning,Urban,Highway,Snowy,346.9887904250011,4,72,41-60,Male,0.239443688840422,1,Good,0,2,Moderate,3,2,56.34367793860368,1310.9926582191536,Icy,Drunk Driving,0,30525.12690362587,14695.579370602882,South America,2884.8138853391783
Brazil,2009,January,Saturday,Afternoon,Rural,Main Road,Clear,314.45456057563285,2,105,61+,Female,0.0399678722340152,1,Good,1,0,Minor,8,3,9.791937012915335,769.5586078109508,Snow-covered,Mechanical Failure,8,19362.45880807622,8906.79089247136,South America,2646.373940774774
Brazil,2005,June,Friday,Night,Urban,Highway,Clear,373.314075220185,4,58,41-60,Male,0.1838123650052394,0,Good,0,2,Moderate,18,3,28.873157715926837,5482.375737539191,Icy,Speeding,1,29923.88761207516,77628.97763692733,Australia,3699.142628993292
Brazil,2006,November,Sunday,Evening,Rural,Main Road,Clear,317.1363704746472,2,74,<18,Male,0.0935193788873393,0,Poor,2,1,Severe,13,1,48.904293251520194,1657.1154184672955,Dry,Weather,0,16321.752702285166,94831.31237791078,Asia,2867.448374358919
Brazil,2006,August,Saturday,Night,Urban,Street,Rainy,480.1475410422339,2,116,41-60,Female,0.0611091193607913,1,Good,2,0,Minor,7,1,58.72464370088979,1555.37030933931,Dry,Weather,5,34264.4291329518,15794.572242943048,South America,611.3496557176094
Brazil,2005,November,Friday,Morning,Rural,Highway,Rainy,357.0791373980484,4,68,18-25,Male,0.247575617374217,1,Moderate,2,0,Severe,10,3,38.342367217402426,1055.3910947825475,Snow-covered,Mechanical Failure,6,750.370111305981,2769.5875327400418,Asia,111.18097014966564
Brazil,2024,August,Sunday,Morning,Urban,Street,Foggy,254.80038466527904,1,93,18-25,Female,0.1785625958683235,0,Good,2,0,Moderate,12,4,59.38609462421424,237.45350824579612,Dry,Distracted Driving,2,15486.52399417772,18106.867251815765,North America,4111.525413881076
Brazil,2011,January,Friday,Evening,Rural,Highway,Snowy,291.55693837780143,1,39,61+,Female,0.1218960937874432,1,Moderate,0,0,Minor,12,3,57.63948237649236,2408.553172557596,Icy,Distracted Driving,1,41355.05497914821,36133.56672474913,Asia,4653.147876033288
Brazil,2018,February,Friday,Morning,Rural,Highway,Rainy,308.36070042882835,3,82,61+,Female,0.0040422255766148,0,Moderate,1,2,Severe,11,2,57.535600476304765,4855.110518087691,Icy,Distracted Driving,6,10927.402891793225,34666.62706401749,South America,4305.92147263812
Brazil,2015,September,Friday,Night,Rural,Street,Foggy,441.6126728362471,3,45,41-60,Female,0.2441959815459792,0,Good,0,2,Moderate,6,4,50.18376258742255,5714.718796054805,Icy,Speeding,8,14851.322931050556,81803.11869262946,South America,4360.5573633162
Brazil,2021,June,Sunday,Afternoon,Rural,Street,Rainy,156.2191305337471,2,80,<18,Female,0.1612873619529738,1,Moderate,1,0,Severe,7,4,58.44078086251477,9472.607524257664,Wet,Speeding,9,40173.50591398882,59112.612365155146,North America,4551.44224796562
Brazil,2005,October,Saturday,Afternoon,Urban,Street,Rainy,119.66147863069344,3,42,41-60,Female,0.1940689397129629,0,Good,0,2,Minor,4,2,20.86371856903273,1089.4019227967317,Dry,Mechanical Failure,0,9938.773999818852,91465.1589074453,Asia,4750.365822590109
Brazil,2022,January,Tuesday,Morning,Urban,Street,Rainy,188.0701776095223,3,66,41-60,Female,0.0586757696391055,0,Poor,2,1,Minor,8,3,29.634003517555488,1271.3335732097887,Icy,Weather,6,22842.11190646564,76211.01547380589,Asia,1448.2236517609915
Brazil,2009,December,Wednesday,Afternoon,Urban,Main Road,Clear,203.6654166779975,4,99,26-40,Female,0.1147752619570146,1,Moderate,1,2,Severe,1,2,17.047004297180212,1809.875010659451,Snow-covered,Mechanical Failure,8,26602.829163962542,69714.94359431953,Australia,630.7788077897059
Brazil,2011,May,Tuesday,Afternoon,Rural,Highway,Clear,303.76035696607084,1,80,61+,Male,0.1354499380471111,1,Moderate,2,0,Severe,3,1,46.64550304744814,6445.818207854687,Icy,Mechanical Failure,8,41110.4769896424,7059.551586594461,Australia,2759.066535160736
Brazil,2006,November,Sunday,Evening,Rural,Street,Rainy,72.45523301527939,2,79,<18,Male,0.0591768478151593,1,Good,2,0,Minor,16,0,41.91180400339825,3025.579755560492,Dry,Drunk Driving,6,25365.413874219958,71233.17088404548,North America,4430.441365567727
Brazil,2012,May,Sunday,Evening,Rural,Main Road,Windy,280.51497396306365,2,47,<18,Female,0.1665588911069454,0,Good,2,1,Moderate,18,4,29.35259358501576,1853.7518274201384,Dry,Distracted Driving,5,44390.86558400957,4331.184336585983,North America,321.71901631006864
Brazil,2024,October,Thursday,Night,Rural,Main Road,Foggy,94.04769591801376,3,91,61+,Female,0.0767582567460305,1,Good,2,1,Severe,15,2,30.310896754412543,1133.0501383325168,Icy,Weather,2,6872.263014795923,55502.67316141952,South America,468.0102875543732
Brazil,2010,September,Saturday,Evening,Rural,Street,Foggy,443.6467958287064,1,86,<18,Female,0.0680276651189867,0,Poor,0,0,Minor,8,3,43.75951696196415,4923.431703030396,Icy,Mechanical Failure,9,25063.72422561244,18898.574444528334,Europe,1799.6319877663004
Brazil,2012,February,Friday,Afternoon,Rural,Highway,Foggy,179.0806155081014,3,64,61+,Female,0.2094411902606527,1,Poor,1,0,Severe,13,4,26.17073129759791,2491.9851041254865,Dry,Distracted Driving,9,47114.519641035455,30514.086671898243,South America,108.3605726546318
Brazil,2013,September,Thursday,Afternoon,Urban,Highway,Snowy,433.6850591126697,1,46,61+,Female,0.2060508901211885,0,Moderate,2,2,Minor,6,2,27.792868932333576,3655.195985581755,Dry,Drunk Driving,9,1082.4903966250313,22166.34549282942,North America,4699.243151151252
Brazil,2014,April,Thursday,Evening,Urban,Highway,Foggy,384.9214174870873,2,107,61+,Male,0.0921892333636679,1,Moderate,0,1,Severe,2,1,14.149328607136392,6542.9834114560745,Snow-covered,Weather,2,16232.486973419873,28032.89931460763,Australia,4818.220748680805
Brazil,2010,March,Tuesday,Afternoon,Rural,Highway,Foggy,189.9134957436472,3,90,26-40,Female,0.0793887143350597,0,Poor,1,1,Minor,10,0,5.1053473697374825,8089.595804781541,Snow-covered,Weather,7,31136.94520941711,75609.24364795604,North America,270.53152039278456
Brazil,2012,June,Tuesday,Evening,Urban,Highway,Snowy,150.85552791907605,1,53,<18,Female,0.0825463864929737,1,Moderate,2,2,Severe,4,4,48.5792485926134,119.34301982516772,Wet,Speeding,1,22714.70940413945,42826.16245619976,North America,3236.604389950069
